object_id,class_id,class_name,image_path,label_path,content_hash,source_group_id,duplicate_group_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,yolo_x_center,yolo_y_center,yolo_width,yolo_height,image_width,image_height,crop_width,crop_height,crop_area,object_size_category,touches_left_edge,touches_top_edge,touches_right_edge,touches_bottom_edge,extraction_method,crop_output_path,mask_output_path,crop_hash,mask_hash,mask_coverage,foreground_area,extraction_quality_status,extraction_quality_notes,inclusion_status,exclusion_reason
obj-00084ce752823549,2,penguin,datasets/raw/aquarium/export/test/images/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.jpg,datasets/raw/aquarium/export/test/labels/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.txt,7fe76818e7cc208a23947f880b71cf3b2dfa5adea7e005980db02a5e5407fca3,penguin-capture-2282-2354,,182,468,206,520,0.2526041667,0.4824218750,0.0299479167,0.0498046875,768,1024,24,52,1248,medium,false,false,false,false,feathered_rectangle_fallback,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00084ce752823549.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00084ce752823549.png,d37cacaaaa5631f2b1267c79d2d014a2f4a56d38928368ea9acc877e534de32b,5362db6821b42c515a8d0868d4f2ec5c5dbbb113cdd82e27c95ec76222181b09,1.0000000000,1248,usable_estimate,GrabCut unavailable/degenerate (degenerate GrabCut coverage 0.002404); softly feathered rectangle used,included,
obj-00268d90ac924d33,0,fish,datasets/raw/aquarium/export/train/images/IMG_2504_jpeg_jpg.rf.6319bf044a6c11112e69a100f1505d41.jpg,datasets/raw/aquarium/export/train/labels/IMG_2504_jpeg_jpg.rf.6319bf044a6c11112e69a100f1505d41.txt,268fc7fa4992e4b9297e1c07379fd717696b2e70ad2dba20cb3c15b564b5092e,reviewed-scene-large-blue-shark-ray,,219,339,283,399,0.3268229167,0.3603515625,0.0833333333,0.0585937500,768,1024,64,60,3840,medium,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00268d90ac924d33.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00268d90ac924d33.png,1e499bded167ef297a915203e4e6f5bfdf613e6cd180a0713bd252f311a6c423,31a8bc15840982dc30106700e3ed8ce0dc42cf8ce810d21e54b890b3282659ed,0.1520833333,584,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-0033a33003173042,0,fish,datasets/raw/aquarium/export/train/images/IMG_2561_jpeg_jpg.rf.f50a9915e352436894ae2749e4df115a.jpg,datasets/raw/aquarium/export/train/labels/IMG_2561_jpeg_jpg.rf.f50a9915e352436894ae2749e4df115a.txt,3fb0dfc6388f2ab48019ed13bfa062cbe03aca1211209f9afdba1f4238587419,reviewed-scene-large-blue-shark-ray,,455,338,573,378,0.6692708333,0.3496093750,0.1523437500,0.0380859375,768,1024,118,40,4720,medium,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-0033a33003173042.png,datasets/processed/aquarium/synthetic/v1/masks/obj-0033a33003173042.png,ca22cc83018442d62b9fce1b8f4c56427ab6d4081702e2022ec2eb49e4dc402b,8ec8f1562efc15ad613c5b92af6581d4e344886acb37a82bf073f869593897de,0.4699152542,2218,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-005061c22f549cd3,0,fish,datasets/raw/aquarium/export/train/images/IMG_2601_jpeg_jpg.rf.6db2e040b561c055befb49ca877632b3.jpg,datasets/raw/aquarium/export/train/labels/IMG_2601_jpeg_jpg.rf.6db2e040b561c055befb49ca877632b3.txt,bd114aba25df0c4a7b8e863b1e79e9afa11409a6753a661ef2193fab1291e26e,reviewed-scene-large-blue-shark-ray,,438,0,490,99,0.6041666667,0.0483398438,0.0677083333,0.0966796875,768,1024,52,99,5148,medium,false,true,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-005061c22f549cd3.png,datasets/processed/aquarium/synthetic/v1/masks/obj-005061c22f549cd3.png,a27fafd567e20f863bf29f4a5072a9ffd7e5a09ecf20c5800ff23aaabb45e1bc,5efbb9c607b903ab9df859f6a99041528c6ab034cda645c4f72dce4c04412dee,0.4912587413,2529,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-008ca6342f29288c,0,fish,datasets/raw/aquarium/export/train/images/IMG_8517_MOV-1_jpg.rf.f38c10686e4a0e257b1f2d8f4bb5f4b1.jpg,datasets/raw/aquarium/export/train/labels/IMG_8517_MOV-1_jpg.rf.f38c10686e4a0e257b1f2d8f4bb5f4b1.txt,6b2d2d7767736402766ba735291d2ca37e82e2d59181564d06e9ad020386756e,source-0058,,660,291,726,425,0.6767578125,0.6215277778,0.0644531250,0.2326388889,1024,576,66,134,8844,medium,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-008ca6342f29288c.png,datasets/processed/aquarium/synthetic/v1/masks/obj-008ca6342f29288c.png,ef2a8a5f62629a7a4e2278a28a82ed90f48cc8d2d0e6b7d9aef733d7c9872264,57f278309aeec65954a99add7ba7203a12bb81b1ccb270faf879478d49e2bbf4,0.6787652646,6003,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-00aadbcb56b439b3,5,starfish,datasets/raw/aquarium/export/test/images/IMG_2532_jpeg_jpg.rf.2afeb76e5d9372dbbd6fbc53d5b75675.jpg,datasets/raw/aquarium/export/test/labels/IMG_2532_jpeg_jpg.rf.2afeb76e5d9372dbbd6fbc53d5b75675.txt,d983f621259f96b10d3869d7006a6c62f4e6c04ca783ca461a6a47038b0a8efb,reviewed-scene-dark-rock-starfish,,414,369,537,493,0.6197916667,0.4208984375,0.1588541667,0.1201171875,768,1024,123,124,15252,large,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00aadbcb56b439b3.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00aadbcb56b439b3.png,4c9b2b250c89615830d56bca5ff9e93bee56f52e6e0d2f74776fa6227863b535,841a5ca6da676843dde501ae835342fa2bbc393e82b32e5ef4b7b9e31328aad5,0.2382638343,3634,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-00ae37a25c80ae94,1,jellyfish,datasets/raw/aquarium/export/train/images/IMG_8598_jpg.rf.761ffe2966ae3fae2a3f5615df36370e.jpg,datasets/raw/aquarium/export/train/labels/IMG_8598_jpg.rf.761ffe2966ae3fae2a3f5615df36370e.txt,40222f6fc73426813723247bf9a13643b8889d17a76ab157948ecacca32a6d83,singleton-IMG_8598,,494,206,526,234,0.4980468750,0.2864583333,0.0302734375,0.0351562500,1024,768,32,28,896,small,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00ae37a25c80ae94.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00ae37a25c80ae94.png,7f8ae60af2d1f93773c4731966c980d5776c193ebb9a394598b4dbde55363aa8,bf3871339741779f8e5bdd44c3ca9ca58aaa61e1f8671a74ebaae03cfc9b48cb,0.5758928571,516,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
obj-00b68754505244ee,0,fish,datasets/raw/aquarium/export/train/images/IMG_8451_jpg.rf.d7a20105b0a3945b7ea1c5a146adfe0c.jpg,datasets/raw/aquarium/export/train/labels/IMG_8451_jpg.rf.d7a20105b0a3945b7ea1c5a146adfe0c.txt,bc01c2d41e044f7afa62fc2e6bd6e321dd3ae27e1ed9b1ebf125d95acd7c108f,source-0020,,317,375,377,417,0.3388671875,0.5156250000,0.0585937500,0.0546875000,1024,768,60,42,2520,medium,false,false,false,false,feathered_rectangle_fallback,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00b68754505244ee.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00b68754505244ee.png,557df9e310d81c6849e0197d4a285ad2c62b011941ff6a8f6e5af7346e13438b,ee66bb27bd68c99b41e8d7ecf651722b66613cb9b6430296581b41f16f903aa2,1.0000000000,2520,usable_estimate,GrabCut unavailable/degenerate (degenerate GrabCut coverage 0.000000); softly feathered rectangle used,included,
obj-00c64c80ca4212ce,2,penguin,datasets/raw/aquarium/export/test/images/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.jpg,datasets/raw/aquarium/export/test/labels/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.txt,7fe76818e7cc208a23947f880b71cf3b2dfa5adea7e005980db02a5e5407fca3,penguin-capture-2282-2354,,448,495,510,523,0.6236979167,0.4970703125,0.0794270833,0.0263671875,768,1024,62,28,1736,medium,false,false,false,false,feathered_rectangle_fallback,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00c64c80ca4212ce.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00c64c80ca4212ce.png,31d2a2777354330f83ff75f264920f5c170b15cc2a00b59b6c81ed3b4c9b7bdd,9b60ae24345a36ee0b87b483864b047c74b4b80d7b912ec6ef526d9e01953221,1.0000000000,1736,usable_estimate,GrabCut unavailable/degenerate (degenerate GrabCut coverage 0.000000); softly feathered rectangle used,included,
obj-00cc248abdd626b2,0,fish,datasets/raw/aquarium/export/train/images/IMG_8580_jpg.rf.9b5f56c09ea8a7933c2c575f7e9a3f14.jpg,datasets/raw/aquarium/export/train/labels/IMG_8580_jpg.rf.9b5f56c09ea8a7933c2c575f7e9a3f14.txt,ea1f1c0590e36e1905979a0e4eda4f29ea869039c0843e57dff628f596ec501b,source-0076,,199,106,219,140,0.2041015625,0.1601562500,0.0185546875,0.0429687500,1024,768,20,34,680,small,false,false,false,false,grabcut,datasets/processed/aquarium/synthetic/v1/object_bank/crops/obj-00cc248abdd626b2.png,datasets/processed/aquarium/synthetic/v1/masks/obj-00cc248abdd626b2.png,6ebb0539e82197b71af66fa988a041e26a9e816bdb242dd47d6e1d09155356d2,39ccb83541e050ff8eb4c154ce8ff6a601b48215462d3037acafa18e4026af68,0.2117647059,144,usable_estimate,"bbox-initialized GrabCut; mask is an estimate, not segmentation ground truth",included,
