synthetic_image_path,synthetic_label_path,output_image_hash,output_label_hash,base_image_path,base_image_hash,base_source_group_id,pasted_object_count,retained_base_object_count,class_ids_present,total_object_count,image_width,image_height,per_image_seed,generator_configuration_hash,object_bank_identity,active_real_split_identity,jpeg_quality,generation_status
datasets/processed/aquarium/synthetic/v1/images/synthetic-000000-4ab04758c3df.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000000-4ab04758c3df.txt,649f1e33350ba7bc0f7edf44ff03bd7e84395da42e705e4ec4cdcd858a0119be,4d1eaa534633055983794184ae58a93580230e935bdad098049217ad3b26b458,datasets/raw/aquarium/export/test/images/IMG_2582_jpeg_jpg.rf.14f175066ce74b470bf31fa0c7a096cd.jpg,7e9f4a3231b7a953bd3f6eea5df8efd75b9b6d6ba8f7359630c73ae27e84f490,reviewed-scene-large-blue-shark-ray,2,13,0;4;6,15,768,1024,2731440863351360033,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,91,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000001-2aa839b70318.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000001-2aa839b70318.txt,4353ab26dbf9994a632c61df8e2f2a8c23f2145d2e4df7d34dc5fdd9827143f1,4f14985a47257992bb851cac6e6ceadfd579be3e62745d1e94d887803ca1745e,datasets/raw/aquarium/export/train/images/IMG_2412_jpeg_jpg.rf.31034ae005fc4ba75a20f94f91e4bbc5.jpg,461e62cd4fd7f5b2ef44db3400fa6346b08410cf7cbbc227f46261ce27299d26,reviewed-scene-large-blue-shark-ray,2,2,0,4,768,1024,398524015629023016,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,90,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000002-d196d89112bf.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000002-d196d89112bf.txt,41d1d2178a9b8e81b3a282a2cb7541a9ca1984a425f52175b6fe12424a19a30d,38668db593ceb831ad919a4105f9c67444a66c2003ffbd9c60989c51349aa802,datasets/raw/aquarium/export/train/images/IMG_8581_MOV-4_jpg.rf.1d8182747d4e43163f55b5bdbf36a8af.jpg,b85cb69120d1f16e5237062dfdc17daa1936e2c2a3d57b734dd352acb3937a2c,source-0077,1,28,0;3;4,29,576,1024,2634008064700792726,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,96,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000003-db79c29d1f71.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000003-db79c29d1f71.txt,58a94fd51a76316ec6742e00f5e839b23171abddd0d6cb68e5097542400733b9,4b1f7ff3cb4326186a1c14997e7e07450c7b8af6673aff36d94b7717da19e36a,datasets/raw/aquarium/export/test/images/IMG_2465_jpeg_jpg.rf.7e699ec1d2e373d93dac32cd02db9438.jpg,a8149617537830e68a6b24ba60215acb9d8677955ee4f440f043e21f89248c73,reviewed-scene-orange-jellyfish,1,17,1;5,18,768,1024,2890446342382312400,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,92,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000004-e4cc260cebd5.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000004-e4cc260cebd5.txt,b829add3e9e6ee8884ac032f855ffb3863a2b9eb5b2edc38347b87464d235601,86823024c954e71fa680b35710202d82a5dbf8e091fac6071a63f31853bc9b15,datasets/raw/aquarium/export/train/images/IMG_2444_jpeg_jpg.rf.cbd4c00116cf7dd7f0ea905031ea8774.jpg,bc91ce1e3fe8aaf7c0fda99548aa7f1afa808b50014cfca76a7860a964087da3,reviewed-scene-large-blue-shark-ray,2,17,0;4;6,19,768,1024,5305504623146957490,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,91,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000005-aaca37631255.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000005-aaca37631255.txt,c72521f59e268b4eaf972d792c0262271a0f04592ca12f9ed03b12ebf91b9e91,1a91f7356ca8a67ccbb21faa1a7c959ff97e7faab536229adae4bec12188e265,datasets/raw/aquarium/export/valid/images/IMG_8526_jpg.rf.f371583278d1a5bb0d9352efe689fc33.jpg,c0aefe384a0f4f729d521eac448cdbedd1c015e810d4472d0b2b41262a289032,source-0060,1,6,0,7,1024,768,14517144155193339844,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,90,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000006-72308f886f62.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000006-72308f886f62.txt,027dd55e26abf91da7c383a8e056ce434ea33682601be0586cb1d6de8f13000b,51d530704c7b6c63bccc14172c63aa211cca8d20a30dae7a9c15b5dc6e2064de,datasets/raw/aquarium/export/valid/images/IMG_2577_jpeg_jpg.rf.3a5c906372d7e1dae2a5854a0a71f1d8.jpg,9abc04a404f2f6f0e40989a73fc4a1b69f4901a884e59eea41fe4877a1a44384,reviewed-scene-large-blue-shark-ray,1,24,0;6,25,768,1024,9898865054595998430,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,88,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000007-cbd58cd600a9.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000007-cbd58cd600a9.txt,bb36bf41945a97c5e1bd4fe95f5b22f237abb8d3ceb8aabcc2fce13b0b42858a,911ca49f941a61eab289edc9c433a168651eb3206ffc29e18e3a7d74a5aef4f3,datasets/raw/aquarium/export/train/images/IMG_3181_jpeg_jpg.rf.c52b54494d4236e54b900fe60bd6565b.jpg,1206f4a35735af29fc02271e9df446df7d4d2245fc1bf631ed7738b1e4d8bae9,reviewed-scene-dark-rock-starfish,2,2,0;5,4,768,1024,16405175666067901662,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,94,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000008-ca7b48185ea6.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000008-ca7b48185ea6.txt,4abd868519f9679f2071a97c645c92ba348bb352323d60ece614d61fe888c63b,c34cd74ef78262c63314789989576758f1113e4c74554fb904d3b0fdca3def44,datasets/raw/aquarium/export/train/images/IMG_8517_MOV-0_jpg.rf.1cd69226c4111a502f5018a4ff6bd886.jpg,dba020037138417eeedc1769d126492de70725cd16191065d9087c8c50a9a5c2,source-0058,2,6,0,8,1024,576,15506322162657314067,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,96,accepted
datasets/processed/aquarium/synthetic/v1/images/synthetic-000009-142f8b52f1e8.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000009-142f8b52f1e8.txt,4da81f64a37ece23960e85dd61544eaef6c6ef9c6c29fc25b77919aeedba8324,61770cd6b19b9497e9cdf0120adbb47eb3647e2fa11b4b77b80e5e9514746b92,datasets/raw/aquarium/export/train/images/IMG_8575_jpg.rf.1cf3080cdc0d1afae6f57dbd147c9e3c.jpg,61f7721f3ed303339f1fcf189167ca091c79f3b52f3d902c1a8853191374bb35,reviewed-scene-dark-sand-shark,3,1,0;2;4,4,1024,768,9044219207664995219,7b957f23b46c760e4df446a362a7e1e8f194a54827696880c39c4b905b180eef,22d5de79528f5de87b19bae606a93c62af357fc90ad51bfb81e4d197919c54d3,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,91,accepted
