regime,ground_truth_class,predicted_class,count
real_50,fish,jellyfish,164
real_50,fish,penguin,157
real_75,fish,jellyfish,147
synthetic_only,fish,jellyfish,147
synthetic_only,fish,penguin,139
real_50,shark,fish,138
real_25,shark,fish,135
synthetic_only,shark,fish,125
real_only,shark,fish,124
real_50,fish,shark,119
real_25,fish,penguin,118
real_75,shark,fish,111
real_25,fish,shark,107
real_75,fish,shark,101
real_only,fish,starfish,99
real_25,fish,puffin,94
real_only,fish,penguin,94
real_only,fish,jellyfish,93
real_50,fish,puffin,87
real_75,fish,penguin,87
synthetic_only,fish,shark,79
real_25,fish,jellyfish,78
real_only,fish,shark,74
real_50,shark,stingray,62
real_50,fish,starfish,60
real_only,fish,stingray,56
real_50,shark,penguin,55
real_25,puffin,penguin,52
synthetic_only,fish,puffin,50
real_50,fish,stingray,48
real_75,fish,stingray,47
real_only,shark,stingray,47
real_50,puffin,penguin,45
real_50,jellyfish,fish,44
synthetic_only,fish,stingray,44
real_75,jellyfish,fish,43
real_75,shark,stingray,43
real_25,shark,stingray,41
real_75,puffin,penguin,41
synthetic_only,shark,penguin,41
real_25,fish,stingray,40
real_only,fish,puffin,39
real_25,jellyfish,fish,38
real_50,puffin,fish,38
real_only,puffin,penguin,37
real_50,shark,puffin,36
real_only,shark,starfish,36
synthetic_only,shark,stingray,36
synthetic_only,starfish,fish,36
synthetic_only,puffin,penguin,35
real_25,shark,penguin,34
real_25,starfish,fish,34
real_only,stingray,fish,33
synthetic_only,jellyfish,fish,32
real_25,stingray,fish,31
real_75,starfish,fish,31
real_only,starfish,fish,31
real_50,stingray,jellyfish,30
real_75,stingray,fish,30
synthetic_only,fish,starfish,30
real_75,shark,penguin,29
real_only,jellyfish,fish,28
real_25,puffin,fish,27
real_25,shark,puffin,27
real_50,starfish,fish,27
real_75,fish,starfish,27
synthetic_only,shark,puffin,27
real_50,shark,starfish,26
real_50,stingray,fish,26
real_only,puffin,fish,26
real_only,shark,penguin,26
real_only,stingray,jellyfish,26
synthetic_only,shark,starfish,26
real_25,stingray,jellyfish,25
real_75,penguin,fish,25
real_75,shark,starfish,24
real_25,fish,starfish,23
real_75,puffin,fish,23
real_75,stingray,jellyfish,22
synthetic_only,puffin,fish,22
synthetic_only,starfish,shark,22
real_25,penguin,fish,21
real_25,starfish,shark,21
real_75,starfish,shark,21
real_only,stingray,shark,21
synthetic_only,penguin,fish,21
synthetic_only,stingray,fish,21
real_50,jellyfish,penguin,20
real_75,jellyfish,stingray,20
real_75,shark,jellyfish,20
real_only,shark,jellyfish,20
synthetic_only,stingray,jellyfish,20
real_75,penguin,starfish,19
real_75,stingray,shark,19
real_25,stingray,shark,18
real_50,jellyfish,stingray,18
real_50,shark,jellyfish,18
real_50,stingray,shark,18
real_only,starfish,shark,18
real_25,shark,starfish,17
real_25,starfish,stingray,17
real_50,jellyfish,shark,17
real_50,starfish,shark,17
real_50,starfish,stingray,17
real_75,shark,puffin,17
real_only,jellyfish,stingray,17
real_only,shark,puffin,17
synthetic_only,stingray,shark,17
real_75,fish,puffin,16
real_50,penguin,fish,15
real_75,penguin,puffin,15
real_75,jellyfish,shark,14
real_75,puffin,starfish,14
real_only,penguin,starfish,14
synthetic_only,jellyfish,shark,14
real_25,shark,jellyfish,13
real_25,starfish,puffin,13
real_50,puffin,starfish,13
real_25,jellyfish,penguin,12
real_25,jellyfish,stingray,12
real_50,starfish,puffin,12
real_50,stingray,penguin,12
real_only,jellyfish,shark,12
real_only,penguin,fish,12
real_only,starfish,stingray,12
real_75,penguin,shark,11
real_75,starfish,stingray,11
real_only,jellyfish,starfish,11
real_only,starfish,puffin,11
real_only,stingray,starfish,11
synthetic_only,jellyfish,stingray,11
synthetic_only,shark,jellyfish,11
synthetic_only,starfish,stingray,11
real_25,jellyfish,shark,10
real_25,penguin,puffin,10
real_25,stingray,penguin,10
real_50,penguin,starfish,10
real_75,jellyfish,penguin,10
real_75,starfish,puffin,10
synthetic_only,penguin,puffin,10
real_25,penguin,shark,9
real_25,penguin,starfish,9
real_50,jellyfish,starfish,9
synthetic_only,penguin,starfish,9
real_25,puffin,starfish,8
real_50,penguin,puffin,8
real_50,puffin,shark,8
real_75,puffin,shark,8
real_75,starfish,penguin,8
real_75,stingray,penguin,8
real_only,penguin,shark,8
synthetic_only,penguin,shark,8
synthetic_only,stingray,penguin,8
real_25,stingray,puffin,7
real_50,starfish,penguin,7
real_50,stingray,puffin,7
real_75,puffin,stingray,7
real_75,stingray,puffin,7
synthetic_only,jellyfish,starfish,7
real_25,starfish,penguin,6
real_50,puffin,stingray,6
real_50,starfish,jellyfish,6
real_75,jellyfish,starfish,6
real_75,stingray,starfish,6
real_only,jellyfish,penguin,6
real_only,puffin,starfish,6
synthetic_only,starfish,penguin,6
synthetic_only,starfish,puffin,6
real_25,stingray,starfish,5
real_75,penguin,jellyfish,5
real_only,penguin,puffin,5
real_only,starfish,penguin,5
synthetic_only,puffin,starfish,5
synthetic_only,puffin,stingray,5
synthetic_only,stingray,starfish,5
real_25,penguin,jellyfish,4
real_50,penguin,shark,4
real_50,stingray,starfish,4
real_75,starfish,jellyfish,4
real_only,penguin,stingray,4
synthetic_only,penguin,stingray,4
synthetic_only,starfish,jellyfish,4
real_25,penguin,stingray,3
real_25,puffin,shark,3
real_25,puffin,stingray,3
real_25,starfish,jellyfish,3
real_50,penguin,stingray,3
real_50,puffin,jellyfish,3
real_only,stingray,penguin,3
synthetic_only,penguin,jellyfish,3
synthetic_only,puffin,jellyfish,3
synthetic_only,stingray,puffin,3
real_25,jellyfish,starfish,2
real_25,puffin,jellyfish,2
real_75,penguin,stingray,2
real_75,puffin,jellyfish,2
real_only,stingray,puffin,2
real_50,penguin,jellyfish,1
real_only,puffin,stingray,1
real_only,starfish,jellyfish,1
synthetic_only,jellyfish,penguin,1
synthetic_only,puffin,shark,1
