image_content_sha256,image_reference,synthetic_only_matched_detections,real_25_matched_detections,real_50_matched_detections,real_75_matched_detections,real_only_matched_detections,matched_detection_range
74b5b3534dcb902f04d70c0a2a1ba56f29a962922fa5684d32dbf45b521cbf44,datasets/raw/aquarium/export/train/images/IMG_8416_jpg.rf.8702b4edbbda3768d7d820414ed7d4c3.jpg,15,11,14,16,17,6
b5442c5bf10c4db37b1205086a2b7e4cc088840d3a12a1dc688aefd46865cc81,datasets/raw/aquarium/export/train/images/IMG_8419_jpg.rf.ddef2ce9cf39b86e6937937c5d31f178.jpg,17,14,16,12,18,6
09c8675349909dbead54138b52311bbf4fc4af7ef93fb35604177bfb3750d8a1,datasets/raw/aquarium/export/train/images/IMG_8421_jpg.rf.44b6c0392b3fe1aa9416567b3c3a5b70.jpg,10,10,13,8,10,5
22b4bac693bad3d2c4754eee16b5ff51e1b8f9c8f9060dd8725d6546ad3e84ce,datasets/raw/aquarium/export/train/images/IMG_8510_jpg.rf.c6030dc16e5b84b2532aec1e07df4e50.jpg,4,4,5,4,0,5
97ab6b8fb5601d005af2375b34ac2432b24571dafaf2909c739be13d934612c3,datasets/raw/aquarium/export/train/images/IMG_8405_jpg.rf.23d15e081e0f47fad6b27f18025e3774.jpg,13,10,13,15,12,5
a6c155b87667acc9dc78f5adcfa8f8820a3164cc69040f6c3ce5dffd785f5af5,datasets/raw/aquarium/export/train/images/IMG_8476_jpg.rf.33248f8c26e878e8a1b3a1a85746f93d.jpg,10,8,8,9,5,5
c4ca998d5324df67d0e838e3873a1553fb8275b29f11b817e8cfb6652fb7e55f,datasets/raw/aquarium/export/train/images/IMG_8443_jpg.rf.e635a944c002f8cd30aefb8ca18ea945.jpg,4,6,8,4,9,5
062bdff3031e0d03b57d48347873b9bf1d831ae43060ff57eb239d8d9c8fc4f9,datasets/raw/aquarium/export/valid/images/IMG_2522_jpeg_jpg.rf.fe97228c0f9f15d425a80236b522307b.jpg,5,8,9,5,9,4
615e6c913d9a9f2a2589ca93506a250b206c025b3477dd4715bbc1f695e0cf7e,datasets/raw/aquarium/export/train/images/IMG_8477_jpg.rf.e3f065c25272e57128a67a1b06a16631.jpg,9,8,8,9,5,4
8b13fdb7709315906bb095bf9e9f79a1fe18f990cee00dd602834a12f2cf5c54,datasets/raw/aquarium/export/train/images/IMG_8418_jpg.rf.1dab5e5914341afcc2be5987e1899086.jpg,6,10,10,9,9,4
f1f9d43eee14f94017d88681c51e3abe9812c9c5e4da0fd43ac2e9f1f3720bd6,datasets/raw/aquarium/export/train/images/IMG_8424_jpg.rf.b9642b8694d488c5067434422b13fdcf.jpg,4,5,5,2,6,4
06b8b65394ec3b9942ceb55e5aa40e34e6aeec166584c927a9857b7cd367bfa5,datasets/raw/aquarium/export/valid/images/IMG_8391_jpg.rf.c86804c2c59d47313c910ac80927da01.jpg,12,9,12,9,11,3
6e88811d03b3b25940c1a2c0421b40715e97a698b7378009ae797cd8ce607878,datasets/raw/aquarium/export/train/images/IMG_8412_jpg.rf.a7669aef0d6247193978c21e8581e57f.jpg,6,4,6,5,7,3
9ad7f811f9bdbc90584a073c041447073c8ec46471fb15822e8dd3d85e7c09c9,datasets/raw/aquarium/export/valid/images/IMG_2525_jpeg_jpg.rf.e9788896d11d85d89b81cae4cd20008a.jpg,3,4,5,6,4,3
b46802f0c1c990dec9071130fa1045a88221dfb7bd2ee2bfe8ff2883e46c9840,datasets/raw/aquarium/export/test/images/IMG_2526_jpeg_jpg.rf.003e1d1d41bcd204df731b85cea68781.jpg,6,8,8,9,8,3
b46c262f4b3b9504c602fe934e212970151b83dea3a98edb16491687ba976c60,datasets/raw/aquarium/export/test/images/IMG_8420_jpg.rf.31f1d5f1440e48ccf1dee988b565911b.jpg,11,13,13,14,13,3
cf4637c25804dd849801ba959e7535b10bc5d174ce21b0908b582e0997179bf6,datasets/raw/aquarium/export/train/images/IMG_8402_jpg.rf.3a5e6ef286c3710d8440da541aa82f18.jpg,5,6,7,4,6,3
07d0f12f5228f59330f0054a884d801cd79f01d1033f3fc8d31d0379fdae8f43,datasets/raw/aquarium/export/test/images/IMG_8395_jpg.rf.3bebece033961c9f665571644a14261f.jpg,9,8,10,8,9,2
1182c189e52d41c6a7ce2cbf6c8a7329823f9b60a149f47f74278ddc8d95ef94,datasets/raw/aquarium/export/train/images/IMG_8408_jpg.rf.f0cdde37a7dbd43b55281d7d1475840e.jpg,1,1,2,0,2,2
12640546082db55e9329299fe0329dcb4086d96dd25f803075a66b65ff73fa13,datasets/raw/aquarium/export/train/images/IMG_3123_jpeg_jpg.rf.e76afbe597d98c497fcf2ac25c3d0fc7.jpg,0,2,1,2,2,2
285ab6b4c09f12437c4b862d27db00f2a70bb78287d8029757b8257700ea0d60,datasets/raw/aquarium/export/valid/images/IMG_2519_jpeg_jpg.rf.1eafac87483bd91a226e3da2c6c9d914.jpg,7,6,5,5,6,2
2ef2e6f838da52a343ff0243c999b7d3c7704232bed6d2a1d1a6d5667c86baef,datasets/raw/aquarium/export/train/images/IMG_8394_jpg.rf.7d9dbe2003dcd63710cf358498231d23.jpg,8,8,8,8,10,2
56c5b3c0d28c7cf3788e4c915928b1fbecf0d8e7e8e791a3dcdfa1e145f85a75,datasets/raw/aquarium/export/train/images/IMG_2521_jpeg_jpg.rf.dde07699f153cc149b5d057924e983c5.jpg,8,8,6,7,8,2
5aa736d22f322415a559ecd59a369491a41d876c5a7dc4dad6531e24ae347d4a,datasets/raw/aquarium/export/valid/images/IMG_2523_jpeg_jpg.rf.efd9f79430fc015890b4a4ad5ddfe3ad.jpg,8,9,8,7,7,2
794f391f1a60f0f860458678ae4383cc770e86a1c8a237cc151f7315dcce2976,datasets/raw/aquarium/export/train/images/IMG_8445_jpg.rf.32413bef3cc793802de2e161f56f09d7.jpg,11,12,13,11,13,2
7e11d38f4e7e6b372ecd38d2c0002b6e7be88b7b0ffd2a7883b9d07991b2b33a,datasets/raw/aquarium/export/valid/images/IMG_3126_jpeg_jpg.rf.f9991ffcba599a478eb6cf04c69cdd73.jpg,1,1,3,2,1,2
adbb96f3f26c458bf4d11f6f9797a80889813a0d010fb8a54ab090831d3811e8,datasets/raw/aquarium/export/train/images/IMG_8430_jpg.rf.710d601448bbe45e4e357906d7c73427.jpg,2,3,3,2,1,2
e65a448f57e8601cc3fcc7a0c349261c8f592fc861207a44630feeee71f69140,datasets/raw/aquarium/export/train/images/IMG_3127_jpeg_jpg.rf.1f29f97225daf147f37da45ccc3e9f5e.jpg,2,1,1,0,1,2
e78ec71eae7c6942d623d600dff9a5a867b5a406416d70cccb10fa531f31a5cb,datasets/raw/aquarium/export/train/images/IMG_8397_jpg.rf.80dfe9d2e5569e3e4355921014da1580.jpg,7,6,7,8,7,2
ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-3_jpg.rf.5acced567b7a3d53c4cf07768f40e770.jpg,6,7,5,5,5,2
0aa0845b243439148f975cfd81736d8093da881df7f0127a5cc2a40303e41bef,datasets/raw/aquarium/export/test/images/IMG_8404_jpg.rf.265b89e862a375f6b89f781ea60ed480.jpg,13,14,14,14,14,1
2e5943d46497dd73823f08def9d196923398b5db75d9f1dca9b08f7d4520222d,datasets/raw/aquarium/export/train/images/IMG_8413_jpg.rf.6e17a573ccc98b664f2066f5d247944a.jpg,9,8,8,9,9,1
424d35e98e93c52424c05f4703ebc3a0354621d6d9fcf1c21ca582aa4cb1f0ee,datasets/raw/aquarium/export/valid/images/IMG_8407_jpg.rf.c1c56f0c5b11da7c9f5075cb7f08d80c.jpg,3,3,3,3,4,1
49d4e6f58b536421f2564f97a023905c60604eed5c899a663e2846bb4b1ed718,datasets/raw/aquarium/export/train/images/IMG_8434_jpg.rf.79f70b6f3f2cbce5ebe9a0aaaa0a2444.jpg,2,2,1,1,2,1
5288912f1edb9c26a72ba00bd5509d173b61f59b0c5efe9a9bc05a1593d654e0,datasets/raw/aquarium/export/train/images/IMG_8406_jpg.rf.fda4b68f345bda8047e7f15060f70e45.jpg,10,11,11,10,10,1
7f102f66575a011d7e9c1123be4c01653a0a82d18b050a263281340f967cf795,datasets/raw/aquarium/export/train/images/IMG_8509_jpg.rf.2c289b209622afd8e8aac913c35008d7.jpg,1,2,1,2,1,1
85e50cda924e861907f1bbf7fc47c2eb7f5348e8677d833ec26588b76f9b515e,datasets/raw/aquarium/export/train/images/IMG_8393_jpg.rf.b15bb8dbd120bb9c9eb9eb6db83645b4.jpg,5,5,6,5,5,1
975a4510b9ac2f1a664ad8c4dff63dc45055da4ce4ff7e1c9f21571745a20720,datasets/raw/aquarium/export/train/images/IMG_3122_jpeg_jpg.rf.e9a29910dc8281cd1709baad92212e23.jpg,2,2,2,1,2,1
ab778d02e11c2d736f3f5456e3ab28374530a1e6172041d8e684b388db898ff3,datasets/raw/aquarium/export/train/images/IMG_8478_jpg.rf.965ef34d8eee7cbb5e48a5ce4f6cac17.jpg,6,6,6,6,5,1
bcd22d82f8a6e232fe52f7ff26906f5eb77e77e44ce23c6d8e6ec38f646a6c87,datasets/raw/aquarium/export/test/images/IMG_8396_jpg.rf.106a6ced5c649ea81f0de8ecaa4ff3b8.jpg,8,8,9,9,8,1
c83304e35e8cd48263ebce08c40c157ebcdcf810d8fbf715ac08ac8d307d4564,datasets/raw/aquarium/export/test/images/IMG_8490_jpg.rf.1836542cf054c6d303a2dd05d4194d7f.jpg,30,30,31,30,31,1
cdf4c9197d57b0fcb8a271a5942c2ec4cd625206f80a6329e830c59522c5aac5,datasets/raw/aquarium/export/train/images/IMG_8399_jpg.rf.98177022467f0f178f35070eba1faf92.jpg,7,8,7,7,7,1
d2006200dbde907c65c88ea0dc8cdcdacdadb22f6d21bd707f8710b594b066fc,datasets/raw/aquarium/export/valid/images/IMG_8489_jpg.rf.e79ed773754ce88ed4a9a9042d98dca9.jpg,33,32,32,33,33,1
dc835293ca7abb4c6c468650ed533b70b1e58bf58a2d7f6fc59f3b143eef5a53,datasets/raw/aquarium/export/train/images/IMG_8403_jpg.rf.eacd563b31d0cdecfb5f3b7e5c11c453.jpg,8,9,9,8,8,1
e81dcf920afe71fb6a7ccc98bf9fa0de86c87ae35627e6f1606bc1c834c9d34a,datasets/raw/aquarium/export/train/images/IMG_2528_jpeg_jpg.rf.2bd17b3a6751de79eab0f91356230d98.jpg,1,1,2,2,2,1
04d50827f48d777d1c8bddc17e53f0796ca620797db44c0fae27e90accbd1ff0,datasets/raw/aquarium/export/valid/images/IMG_8590_MOV-0_jpg.rf.0ffbdc8627360449c3b1d94adab945c4.jpg,3,3,3,3,3,0
0621949a3b459f45aba29ca0a2322351452554659e45bc559137b96096ed3c2d,datasets/raw/aquarium/export/train/images/IMG_2529_jpeg_jpg.rf.16e64348ddac68d55ee82e98b0258080.jpg,3,3,3,3,3,0
0b5df0302f53e6c644715912785ca086c24e6dd4bef15a2f756a3bf72a2cb32c,datasets/raw/aquarium/export/train/images/IMG_2530_jpeg_jpg.rf.a6c13c1f49a45439e1e4328c13660525.jpg,12,12,12,12,12,0
0c007a8c2a50522085a2e6de639a902a4318b3cb491cba2e4dfd632abcb5256e,datasets/raw/aquarium/export/train/images/IMG_8411_jpg.rf.e97cd10f60bc011b5aa539fcc34dcfaa.jpg,2,2,2,2,2,0
0df70684a349fa3515cd01844a2c90a78b603ee75347931f6bec0c799ece7bd4,datasets/raw/aquarium/export/train/images/IMG_8436_jpg.rf.52c9029581b507fd31669163ec5a8faf.jpg,2,2,2,2,2,0
